Team,AdjEM_torvik,Tempo_torvik,AdjEM_kenpom,Tempo_kenpom,AdjEM_evanmiya,Tempo_evanmiya,AdjEM_blend,Tempo_blend,sources_used,InjuryAdj,AdjEM_current,source_count
Youngstown St,-2.311374958463631,67.05013718393995,,,,,-2.311374958463631,67.05013718393995,torvik,0.0,-2.311374958463631,1
Portland,-2.3354595459819905,68.28222978963187,,,,,-2.3354595459819905,68.28222978963187,torvik,0.0,-2.3354595459819905,1
Missouri St,-2.3818225408967635,65.44438408086882,,,,,-2.3818225408967635,65.44438408086882,torvik,0.0,-2.3818225408967635,1
Detroit Mercy,-2.4296584420398375,68.89223092037636,,,,,-2.4296584420398375,68.89223092037636,torvik,0.0,-2.4296584420398375,1
UMBC,-2.50869665602076,65.85488188005554,,,,,-2.50869665602076,65.85488188005554,torvik,0.0,-2.50869665602076,1
Marist,-2.5657581913434626,65.90104210731425,,,,,-2.5657581913434626,65.90104210731425,torvik,0.0,-2.5657581913434626,1
Drexel,-2.612638690128378,63.93115096971657,,,,,-2.612638690128378,63.93115096971657,torvik,0.0,-2.612638690128378,1
Towson,-2.669753611314661,63.417314731092304,,,,,-2.669753611314661,63.41731473109231,torvik,0.0,-2.669753611314661,1
Mercer,-2.6850875795825573,68.85696609557873,,,,,-2.6850875795825573,68.85696609557873,torvik,0.0,-2.6850875795825573,1
Furman,-2.7128596793718884,65.73578885113822,,,,,-2.7128596793718884,65.73578885113822,torvik,0.0,-2.7128596793718884,1
Weber St,-2.7211119750813566,68.41125660576422,,,,,-2.7211119750813566,68.41125660576422,torvik,0.0,-2.7211119750813566,1
La Salle,-2.780527528171362,65.21659772946118,,,,,-2.780527528171362,65.21659772946118,torvik,0.0,-2.780527528171362,1
Columbia,-2.820362053093362,66.43294040674539,,,,,-2.820362053093362,66.43294040674539,torvik,0.0,-2.820362053093362,1
James Madison,-3.0469048958949827,65.58419011077362,,,,,-3.0469048958949827,65.58419011077362,torvik,0.0,-3.0469048958949827,1
Cal St Fullerton,-3.221780012669882,72.60097383836818,,,,,-3.221780012669882,72.60097383836818,torvik,0.0,-3.221780012669882,1
Marshall,-3.228300808871765,69.22143808692154,,,,,-3.228300808871765,69.22143808692154,torvik,0.0,-3.228300808871765,1
Indiana St,-3.246706235397113,68.30746226394366,,,,,-3.246706235397113,68.30746226394366,torvik,0.0,-3.246706235397113,1
Siena,-3.276006926501452,64.6254995700132,,,,,-3.276006926501452,64.6254995700132,torvik,0.0,-3.276006926501452,1
Tarleton St,-3.3907696776883967,69.42312187163395,,,,,-3.3907696776883967,69.42312187163395,torvik,0.0,-3.3907696776883967,1
Queens,-3.679514779271372,69.24615008809478,,,,,-3.679514779271372,69.24615008809478,torvik,0.0,-3.679514779271372,1
Bethune-Cookman,-3.6967630559557136,68.934261806939,,,,,-3.696763055955714,68.934261806939,torvik,0.0,-3.696763055955714,1
Rice,-3.8409361789843928,65.38159058759668,,,,,-3.840936178984393,65.38159058759668,torvik,0.0,-3.840936178984393,1
Quinnipiac,-4.0991688851759704,69.74149257923877,,,,,-4.0991688851759704,69.74149257923877,torvik,0.0,-4.0991688851759704,1
Buffalo,-4.167064070224896,66.40727231189084,,,,,-4.167064070224896,66.40727231189084,torvik,0.0,-4.167064070224896,1
